Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	NaS_1 Spectral Count	NaS_2 Spectral Count	NaS_3 Spectral Count	LMWPE_biofilm_1 Spectral Count	LMWPE_biofilm_2 Spectral Count	LMWPE_biofilm_3 Spectral Count	LMWPE_1 Spectral Count	LMWPE_2 Spectral Count	LMWPE_3 Spectral Count	NaS_1 Unique Spectral Count	NaS_2 Unique Spectral Count	NaS_3 Unique Spectral Count	LMWPE_biofilm_1 Unique Spectral Count	LMWPE_biofilm_2 Unique Spectral Count	LMWPE_biofilm_3 Unique Spectral Count	LMWPE_1 Unique Spectral Count	LMWPE_2 Unique Spectral Count	LMWPE_3 Unique Spectral Count	NaS_1 Total Spectral Count	NaS_2 Total Spectral Count	NaS_3 Total Spectral Count	LMWPE_biofilm_1 Total Spectral Count	LMWPE_biofilm_2 Total Spectral Count	LMWPE_biofilm_3 Total Spectral Count	LMWPE_1 Total Spectral Count	LMWPE_2 Total Spectral Count	LMWPE_3 Total Spectral Count	NaS_1 Intensity	NaS_2 Intensity	NaS_3 Intensity	LMWPE_biofilm_1 Intensity	LMWPE_biofilm_2 Intensity	LMWPE_biofilm_3 Intensity	LMWPE_1 Intensity	LMWPE_2 Intensity	LMWPE_3 Intensity	NaS_1 MaxLFQ Intensity	NaS_2 MaxLFQ Intensity	NaS_3 MaxLFQ Intensity	LMWPE_biofilm_1 MaxLFQ Intensity	LMWPE_biofilm_2 MaxLFQ Intensity	LMWPE_biofilm_3 MaxLFQ Intensity	LMWPE_1 MaxLFQ Intensity	LMWPE_2 MaxLFQ Intensity	LMWPE_3 MaxLFQ Intensity	Indistinguishable Proteins
AtRMS-02_contig_1_10	AtRMS-02_contig_1_10 rank: E	AtRMS-02_contig_1_10 rank: E	NA	204	NA	NA	AtRMS-02_contig_1_10 rank: E	0.9985	0.999	2	11	11	11	2	0	0	0	1	1	3	0	3	2	0	0	0	1	1	3	0	3	2	0	0	0	1	1	3	0	3	8136.6885	0	0	0	3691.272	3481.2097	14554.048	0	9558.429	0	0	0	0	0	0	0	0	0	NA
AtRMS-02_contig_1_100	AtRMS-02_contig_1_100 rank: C; membrane fusion protein, multidrug efflux system (db=kegg)	AtRMS-02_contig_1_100 rank: C; membrane fusion protein, multidrug efflux system (db=kegg)	NA	379	NA	NA	AtRMS-02_contig_1_100 rank: C; membrane fusion protein, multidrug efflux system (db=kegg)	1	0.999	22	615	615	615	15	9	10	72	75	71	83	82	79	15	9	10	72	75	71	83	82	79	15	9	10	72	75	71	83	82	79	60692.508	67316.36	85730.7	2318812.2	2517567.2	2507629	1964157.4	2011969.6	2064185.8	20640.979	16477.047	21441.938	229717.17	240894.17	246002.34	208802.73	219816.69	221945.1	NA
AtRMS-02_contig_1_1000	AtRMS-02_contig_1_1000 rank: C; mRNA interferase RelE/StbE (db=kegg)	AtRMS-02_contig_1_1000 rank: C; mRNA interferase RelE/StbE (db=kegg)	NA	97	NA	NA	AtRMS-02_contig_1_1000 rank: C; mRNA interferase RelE/StbE (db=kegg)	1	0.999	4	26	26	26	1	5	2	1	2	1	3	4	7	1	5	2	1	2	1	3	4	7	1	5	2	1	2	1	3	4	7	25082.277	50967.363	61288.08	76491.914	71153.22	11362.133	21907.203	35119.914	54939.492	0	35727.055	34343.56	0	0	0	0	24955.54	26622.42	NA
AtRMS-02_contig_1_1002	AtRMS-02_contig_1_1002 rank: C; 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-] (db=kegg)	AtRMS-02_contig_1_1002 rank: C; 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-] (db=kegg)	NA	402	NA	NA	AtRMS-02_contig_1_1002 rank: C; 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-] (db=kegg)	1	0.999	21	508	508	508	88	80	56	36	45	35	54	30	40	88	80	56	36	45	35	54	30	40	88	80	56	36	45	35	54	30	40	2288148.2	2477259.8	2018999.9	1223734.1	1109856.9	1489266.9	856864.25	666630.6	935268.6	389861.94	429049	395315.6	225497.81	248105.62	268713.5	210025.84	178039.9	180645.12	NA
AtRMS-02_contig_1_1003	AtRMS-02_contig_1_1003 rank: D; FAD binding domain [PF01494.25]; Squalene epoxidase [PF08491.16] (db=pfam)	AtRMS-02_contig_1_1003 rank: D; FAD binding domain [PF01494.25]; Squalene epoxidase [PF08491.16] (db=pfam)	NA	416	NA	NA	AtRMS-02_contig_1_1003 rank: D; FAD binding domain [PF01494.25]; Squalene epoxidase [PF08491.16] (db=pfam)	1	0.999	15	339	339	339	46	41	46	28	30	31	36	30	28	46	41	46	28	30	31	36	30	28	46	41	46	28	30	31	36	30	28	1145948.4	1186839.2	1103894.9	954997.1	920392.8	1150786.8	908737.06	834892.06	874542.5	207838.64	190551.9	208889.86	141492.08	143971.16	186703.61	175170.45	172911.78	166362.8	NA
AtRMS-02_contig_1_1005	AtRMS-02_contig_1_1005 rank: C; 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198] (db=kegg)	AtRMS-02_contig_1_1005 rank: C; 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198] (db=kegg)	NA	280	NA	NA	AtRMS-02_contig_1_1005 rank: C; 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198] (db=kegg)	1	0.999	13	198	198	198	27	21	26	26	20	21	20	17	20	27	21	26	26	20	21	20	17	20	27	21	26	26	20	21	20	17	20	569872.1	612168.5	835283.44	503300.16	481658.56	556974.56	468935.72	662157.4	471395.03	160785.31	159275.38	154179.05	117815.055	125898.875	125159.98	130693.95	132813.83	128422.07	NA
AtRMS-02_contig_1_1006	AtRMS-02_contig_1_1006 rank: C; putative endonuclease (db=kegg)	AtRMS-02_contig_1_1006 rank: C; putative endonuclease (db=kegg)	NA	142	NA	NA	AtRMS-02_contig_1_1006 rank: C; putative endonuclease (db=kegg)	0.9995	0.999	2	9	9	9	0	0	0	5	0	4	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	31105.43	0	32151.414	0	0	0	0	0	0	16321.3125	0	16954.934	0	0	0	NA
AtRMS-02_contig_1_1007	AtRMS-02_contig_1_1007 rank: C; outer membrane lipoprotein DolP (db=kegg)	AtRMS-02_contig_1_1007 rank: C; outer membrane lipoprotein DolP (db=kegg)	NA	225	NA	NA	AtRMS-02_contig_1_1007 rank: C; outer membrane lipoprotein DolP (db=kegg)	1	0.999	7	399	399	399	11	12	6	27	30	28	27	22	20	11	12	6	27	30	28	27	22	20	11	12	6	27	30	28	27	22	20	283011.9	423461.75	225385.92	2165658.8	2097528	1941566.9	1610936.1	1595398.6	1331020.9	103198.23	114488.984	157352.36	431557.1	337724.06	444836.5	331697.4	364312.78	354931.44	NA
AtRMS-02_contig_1_1008	AtRMS-02_contig_1_1008 rank: D; BD-FAE [PF20434.5]; alpha/beta hydrolase fold [PF07859.19]; Carboxylesterase family [PF00135.34]; Steryl acetyl hydrolase [PF10340.15]; Chlorophyllase [PF07224.18] (db=pfam)	AtRMS-02_contig_1_1008 rank: D; BD-FAE [PF20434.5]; alpha/beta hydrolase fold [PF07859.19]; Carboxylesterase family [PF00135.34]; Steryl acetyl hydrolase [PF10340.15]; Chlorophyllase [PF07224.18] (db=pfam)	NA	295	NA	NA	AtRMS-02_contig_1_1008 rank: D; BD-FAE [PF20434.5]; alpha/beta hydrolase fold [PF07859.19]; Carboxylesterase family [PF00135.34]; Steryl acetyl hydrolase [PF10340.15]; Chlorophyllase [PF07224.18] (db=pfam)	1	0.999	10	77	77	77	5	5	15	4	7	5	8	10	5	5	5	15	4	7	5	8	10	5	5	5	15	4	7	5	8	10	5	223419.97	182522.55	347284.75	88111.74	101028.234	151686.11	225789.25	229620.52	179824.97	100734.3	81365.38	95951.62	71068.04	60914.27	47425.15	69811.24	76389.66	89998.14	NA
AtRMS-02_contig_1_1009	AtRMS-02_contig_1_1009 rank: C; NAD+ diphosphatase [EC:3.6.1.22] (db=kegg)	AtRMS-02_contig_1_1009 rank: C; NAD+ diphosphatase [EC:3.6.1.22] (db=kegg)	NA	257	NA	NA	AtRMS-02_contig_1_1009 rank: C; NAD+ diphosphatase [EC:3.6.1.22] (db=kegg)	1	0.999	14	322	322	322	30	22	31	41	31	29	28	35	45	30	22	31	41	31	29	28	35	45	30	22	31	41	31	29	28	35	45	808141.8	872385.06	1013923.3	792234.9	708291.3	849535.2	803858.56	967333.3	923004.9	188835.77	192946.06	235729.61	168270.97	181699.55	207154.12	170211.14	192215.38	176714.4	NA
